"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"248",248,"MARACAS",0,1,9.69,100,"0.549745",23751,NA,2.5,1,"1",81.29,8.69,18.78,43.2,29.95,0,9.39,9.6,55.62,17.38,32.87,1094.36
"249",249,"MARAGOGIPE",NA,1,105.22,97.88,"0.518065",46106,46106,2,3,"1",334.01,0,0,0,0,0,0,4.48,28.2,0,0,47
"250",250,"MARAU",NA,3,25.03,100,"0.52429",21175,NA,4.75,1,"1",127.08,0,0,0,94.14,9.38,0,0,216.51,0,0,72.92
"251",251,"MARCIONILIO SOUZA",0,3,9.95,100,"0.556673",10951,NA,2.5,3,"1",201.08,9.15,0,0,594.1,9.15,0,19.22,1681.75,27.44,9.58,355.56
"252",252,"MASCOTE",NA,3,19.93,100,"0.450643",14877,NA,4.25,1,"1",1878.38,6.79,0,14.47,695.95,0,7.18,14.47,3662.16,0,0,7.23
"253",253,"MATA DE SAO JOAO",NA,5,76.65,99.37,"0.745441",45813,45813,1.25,1,"3",25.87,0,2.17,15.03,2.16,0,2.17,17.17,23.71,2.13,6.52,150.27
"254",254,"MATINA",0,3,16.04,95.72,"0.576788",12314,NA,2.5,3,"1",3684.3,0,0,0,40.31,0,0,0,386.97,0,74.28,434.39
"255",255,"MEDEIROS NETO",NA,1,17.94,100,"0.570156",23478,NA,3.5,3,"1",38.24,0,0,0,4.25,381.58,4.41,8.82,131.72,67.84,22.07,83.74
"256",256,"MIGUEL CALMON",0,1,17.25,91.94,"0.517615",27536,27536,3.75,1,"1",28.99,0,3.82,3.84,115.94,18.17,11.47,19.21,76.09,3.63,19.11,92.23
"257",257,"MILAGRES",0,3,27.65,100,"0.572794",11659,NA,4,3,"1",137.68,0,0,0,43.03,0,0,0,189.31,8.63,0,109.59
"258",258,"MIRANGABA",0,3,10.61,100,"0.454651",18039,NA,1.25,1,"1",694,0,0,16.36,107.6,0,0,10.91,274.37,0,10.99,856.15
"259",259,"MIRANTE",0,3,8.3,100,"0.538823",9902,NA,2.25,3,"1",0,0,11.31,0,0,20.88,0,0,102.72,10.44,0,104.15
"260",260,"MONTE SANTO",0,3,17.14,100,"0.503511",54733,NA,3.25,3,"1",178.79,0,0,2.02,715.18,0,0,0,71.13,1.92,0,586.83
"261",261,"MORPARA",0,4,4.28,100,"0.529494",8967,NA,5,1,"1",0,0,23.41,269.98,0,0,11.71,0,0,0,280.96,46.95
"262",262,"MORRO DO CHAPEU",0,3,6.4,100,"0.608271",36717,36717,1.75,1,"1",54.36,2.71,5.65,45.18,38.05,0,0,16.94,434.91,29.85,5.65,1457.09
"263",263,"MORTUGABA",0,3,23.67,100,"0.614995",12477,NA,4.25,1,"1",55.98,0,0,0,NA,NA,NA,NA,15.99,0,0,1735.59
"264",264,"MUCUGE",0,3,4.1,100,"0.691478",10244,10244,1,1,"1",59.43,0,10.82,0,1158.87,0,0,11.04,39.62,10.04,0,154.49
"265",265,"MUCURI",NA,1,23.26,100,"0.627397",41068,41068,3.75,1,"1",264.51,16.64,4.85,55.09,31.26,541.93,16.98,67.07,709.36,363.66,70.35,1092.27
"266",266,"MULUNGU DO MORRO",0,3,18.8,74.91,"0.547638",12200,NA,4.75,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,32.9,0,0,1046.93
"267",267,"MUNDO NOVO",0,3,18.21,79.73,"0.4818",27165,NA,2.25,1,"3",346.03,0,0,0,346.03,95.02,0,0,195.1,160.8,0,0
"268",268,"MUNIZ FERREIRA",NA,3,73.18,100,"0.576118",7893,NA,3.75,3,"1",65.36,13.02,0,0,39.22,0,0,0,52.29,0,0,80.84
